Chr	Peak_pos	-log10(FDR-adjusted-pvalue)_Coverage_Genotype	-log10(FDR-adjusted-pvalue)_Coverage_Tissue	-log10(FDR-adjusted-pvalue)_Coverage_Interaction	Feature_type	Gene
chr2L	13552895	0.439957	15.6915	1.71221	intron	kuz
chr2L	13554729	1.03207	14.6803	1.88546	intron	kuz
chr2L	13555512	2.04689	9.15708	0.337203	intron	kuz
chr2L	13559679	1.45989	5.64299	1.00331	intron	kuz
chr2L	13571085	2.78704	11.2786	4.02881	intron	lncRNA:CR44973
chr2L	13571606	1.51204	7.99968	3.52187	intron	lncRNA:CR44973
chr2L	13572061	1.55034	8.46377	2.31152	intron	lncRNA:CR44973
chr2L	13574978	2.72884	11.9533	0.724956	intron	lncRNA:CR44973
chr2L	13577165	0.905259	12.1495	0.452611	intron	lncRNA:CR44973
chr2L	13579532	0.858977	14.4044	0.471348	intron	lncRNA:CR44973
chr2L	13580166	0.217391	13.9558	1.65968	intron	lncRNA:CR44973
chr2L	13582483	0.394946	8.50294	0.939172	promoter-TSS	lncRNA:CR44973
chr2L	13585848	0.992325	10.4916	0.775344	intron	lncRNA:CR44973
chr2L	13587110	0.423593	2.16119	1.69957	intron	lncRNA:CR44973
chr2L	13590367	1.62667	12.1506	0.115899	intron	CG9254
chr2L	13591653	0.258985	10.9644	1.70868	intron	CG9254
chr2L	13592224	0.0885602	12.5807	1.4968	intron	CG9254
chr2L	13593526	0.498321	10.774	0.31345	intron	CG9254
chr2L	13596152	0.14803	5.28915	1.1017	exon	CG9254
chr2L	13597629	0.399745	13.6765	0.520133	promoter-TSS	CG9254
chr2L	13602940	0.666111	11.124	1.40544	intron	CG9254
chr2L	13605501	0.826973	12.826	0.148407	intron	mir-2489
chr2L	13609121	0.389955	9.51785	0.564728	promoter-TSS	mir-2489
chr2L	13611919	0.172775	7.2657	0.375251	intron	mir-2489
chr2L	13613919	0.146489	13.1947	0.45787	intron	mir-2489
chr2L	13614270	0.628377	11.6484	0.504528	intron	mir-2489
chr2L	13615009	0.21207	2.08125	4.75334	intron	mir-2489
chr2L	13615791	0.220962	4.32478	1.6686	intron	mir-2489
chr2L	13616164	0.322972	7.45148	1.024	intron	mir-2489
chr2L	13616669	0.59067	8.96012	0.464964	intron	mir-2489
chr2L	13617277	0.100102	7.0496	1.92264	intron	mir-2489
chr2L	13617946	0.169008	8.74542	0.957308	intron	mir-2489
chr2L	13619376	0.900641	5.05726	0.701067	intron	mir-2489
chr2L	13620622	0.34966	11.567	0.547103	intron	mir-2489
chr2L	13622456	0.234565	6.36349	2.23394	intron	lncRNA:CR43410
chr2L	13623163	0.0840263	10.2034	0.285145	intron	lncRNA:CR43410
chr2L	13623381	0.26106	12.3041	0.27396	intron	lncRNA:CR43410
chr2L	13624593	0.0667142	12.3853	0.714695	intron	lncRNA:CR43410
chr2L	13625476	2.72509	13.6057	0.0899405	intron	lncRNA:CR43410
chr2L	13626229	0.254991	14.1949	0.20231	intron	lncRNA:CR43410
chr2L	13629220	0.0973158	12.8806	0.628485	intron	lncRNA:CR43410
chr2L	13632558	0.35469	14.449	0.36889	TTS	lncRNA:CR43410
chr2L	13633525	0.280162	10.1087	0.779237	promoter-TSS	lncRNA:CR43410
chr2L	13641096	0.765086	6.30105	0.304248	intron	ics
chr2L	13642486	1.38966	11.5501	8.19794	promoter-TSS	ics
chr2L	13665556	0.330438	17.781	1.59609	promoter-TSS	CG18507
chr2L	13666007	0.265396	18.1287	1.35521	exon	CG18507
chr2L	13666431	0.283021	18.1396	0.832042	intron	CG18507
chr2L	13672621	0.392364	5.6135	0.701067	TTS	CG18507
chr2L	13674724	0.634968	11.7412	1.47293	Intergenic	CG18507
chr2L	13688406	0.138292	13.3799	0.974001	intron	Gpo3
chr2L	13699283	0.033131	14.7138	1.35952	intron	Gpo3
chr2L	13717324	0.0616389	13.5211	2.09319	promoter-TSS	DIP-kappa
chr2L	13732425	1.11736	7.00984	1.78231	Intergenic	CG31813
chr2L	13748752	0.166583	10.5618	1.21471	promoter-TSS	lncRNA:CR45913
chr2L	13766967	0.731759	11.4256	3.65273	intron	TM9SF4
chr2L	13767471	0.573972	13.0677	2.361	intron	TM9SF4
chr2L	13771194	0.0534939	6.46313	0.382074	promoter-TSS	TM9SF4
chr2L	13777444	0.488758	15.1769	1.20031	non-coding	asRNA:CR31845
chr2L	13780399	0.397969	7.36624	1.38203	promoter-TSS	CG9008
chr2L	13783876	0.207712	0.800911	1.06053	promoter-TSS	Eato
chr2L	13790850	0.775448	2.53875	0.754164	promoter-TSS	CG16863
chr2L	13793644	0.626867	9.38376	0.0910149	TTS	Sec71
chr2L	13800542	0.43389	9.65359	0.837324	TTS	CAH1
chr2L	13802406	0.434425	13.2568	0.102868	Intergenic	CAH1
chr2L	13803474	0.617406	7.17941	2.61086	promoter-TSS	CAH1
chr2L	13804119	2.4523	15.2566	1.97588	intron	CAH1
chr2L	13804781	2.26708	13.957	3.60644	intron	CAH1
chr2L	13806430	1.31892	11.9541	1.03536	intron	CAH1
chr2L	13811552	0.683115	1.6169	0.186976	promoter-TSS	CG16865
chr2L	13813799	1.48718	6.93321	1.26969	promoter-TSS	Sos
chr2L	13820229	0.269603	12.0906	1.77673	TTS	b
chr2L	13820860	0.275798	6.37118	0.508284	promoter-TSS	b
chr2L	13827886	0.409213	12.5603	0.849016	promoter-TSS	tam
chr2L	13828202	0.439732	10.4652	0.74947	promoter-TSS	tam
chr2L	13829704	0.952016	2.21325	0.527579	promoter-TSS	Arpc1
chr2L	13833232	0.871734	0.93984	1.20714	promoter-TSS	RpII33
chr2L	13835336	0.562433	1.07411	1.70812	promoter-TSS	CenG1A
chr2L	13837635	0.893692	18.665	0.238213	intron	CenG1A
chr2L	13837918	0.386196	15.1198	1.26029	intron	CenG1A
chr2L	13839915	2.85742	12.6863	0.339617	TTS	CG33307
chr2L	13842156	0.746265	11.8917	0.617827	promoter-TSS	CG33307
chr2L	13865884	0.790447	13.5192	0.50741	TTS	lncRNA:CR44848
chr2L	13873410	0.42321	1.29761	3.60958	intron	CenG1A
chr2L	13873761	0.358998	6.24058	3.40386	intron	CenG1A
chr2L	13874371	0.286558	8.52346	0.807854	intron	CenG1A
chr2L	13878743	0.618135	7.82102	1.15132	promoter-TSS	CenG1A
chr2L	13884610	0.524631	12.2242	0.315266	intron	CenG1A
chr2L	13884907	0.622915	12.0092	0.350665	intron	CenG1A
chr2L	13888158	0.343393	8.72043	3.4701	intron	CenG1A
chr2L	13890340	0.733957	13.9168	1.15348	intron	CenG1A
chr2L	13892315	1.03073	13.3166	0.955933	intron	CenG1A
chr2L	13894013	1.37989	13.4001	1.63055	promoter-TSS	CenG1A
chr2L	13897601	0.118819	7.66063	2.12554	exon	CenG1A
chr2L	13898673	0.272624	8.97621	0.817155	TTS	CenG1A
chr2L	13899236	0.484147	8.52079	0.962935	TTS	Smg5
chr2L	13899612	0.79522	11.5096	0.0776534	TTS	Smg5
chr2L	13899846	0.870646	11.5036	0.138041	exon	Smg5
chr2L	13904432	0.250919	8.78884	1.71185	promoter-TSS	Smg5
chr2L	13919574	0.169884	5.90783	4.05037	intron	Vajk1
chr2L	13923737	0.310157	11.3383	2.44162	promoter-TSS	Vajk1
chr2L	13924391	0.385279	11.1763	3.91679	promoter-TSS	Vajk1
chr2L	13929812	0.156429	15.7981	0.68012	TTS	CG42711
chr2L	13936150	2.19732	15.7527	0.054065	intron	Vajk2
chr2L	13941056	1.03744	16.8847	0.441743	intron	Vajk2
chr2L	13942029	3.43054	17.5451	0.206936	intron	Vajk3
chr2L	13954674	0.644261	7.98169	2.31916	intron	NimA
chr2L	13955976	1.07851	13.2955	5.08272	TTS	NimA
chr2L	13956200	0.742151	10.703	4.99562	TTS	NimA
chr2L	13975667	1.13569	7.56639	0.87568	exon	NimC1
chr2L	13978183	0.138644	0.755769	5.66912	intron	Cyp28a5
chr2L	13996202	0.280878	2.53142	2.9076	intron	rk
chr2L	13996592	0.727182	6.11688	0.579649	intron	rk
chr2L	14000772	0.403576	7.40597	1.18982	intron	rk
chr2L	14001203	3.10643	16.8889	1.01071	promoter-TSS	rk
chr2L	14001504	0.622146	17.7579	0.719151	promoter-TSS	rk
chr2L	14001717	0.426676	17.7171	0.4482	promoter-TSS	rk
chr2L	14010534	0.747463	9.21096	2.92991	Intergenic	CG42692
chr2L	14011608	3.58902	10.2199	0.945757	Intergenic	bgm
chr2L	14013910	0.300185	11.6851	1.48041	5'UTR	bgm
chr2L	14021448	0.126943	8.50865	6.2585	TTS	lncRNA:CR45352
chr2L	14022025	0.20502	8.79065	1.29659	promoter-TSS	lncRNA:CR45352
chr2L	14024142	0.21695	6.60945	0.933793	promoter-TSS	lncRNA:CR31840
chr2L	14025472	0.191637	3.09463	0.590438	Intergenic	lncRNA:CR31840
chr2L	14032963	0.520662	4.1533	2.34472	non-coding	CG18095
chr2L	14039197	0.0877182	17.0587	1.68123	promoter-TSS	lncRNA:CR45284
chr2L	14039526	0.247529	17.6904	0.550156	promoter-TSS	nAChRalpha5
chr2L	14040250	0.467198	19.0405	0.572258	promoter-TSS	nAChRalpha5
chr2L	14043525	0.07359	17.4107	0.771752	intron	nAChRalpha5
chr2L	14043873	0.0116361	16.5783	0.723774	intron	nAChRalpha5
chr2L	14049996	0.0803168	16.6158	0.776922	intron	NimC4
chr2L	14051399	0.17936	17.7279	0.320557	intron	NimC4
chr2L	14054514	0.611443	16.4583	0.489085	intron	NimC4
chr2L	14062928	0.0354755	14.1067	0.525274	intron	NimC4
chr2L	14069672	0.184107	15.5185	0.0689241	intron	NimC4
chr2L	14070369	0.210972	15.6599	0.320307	intron	NimC4
chr2L	14074013	0.382073	14.2692	0.711332	intron	NimC4
chr2L	14080998	0.0554	10.9022	0.586989	intron	CG46301
chr2L	14094802	0.00111451	8.03263	1.27255	TTS	CG46301
chr2L	14097521	1.37167	17.5926	0.0138508	Intergenic	CG46301
chr2L	14100496	1.18838	15.2354	0.0202049	Intergenic	CG46301
chr2L	14103646	1.63859	6.02555	2.80151	promoter-TSS	CG46301
chr2L	14116114	0.0731033	16.3549	1.82493	intron	CG31769
chr2L	14118257	0.153235	14.917	0.557015	intron	CG31769
chr2L	14123263	0.225667	10.7286	0.441955	intron	CG46301
chr2L	14128922	0.102861	13.4548	1.50086	intron	CG46301
chr2L	14130154	0.355065	9.33668	1.36345	intron	CG46301
chr2L	14134220	0.087658	16.292	0.663467	promoter-TSS	CG46301
chr2L	14136334	0.00853911	15.6423	0.290658	intron	CG46301
chr2L	14139117	0.0011021	15.7252	0.568427	intron	CG46301
chr2L	14142045	0.0767516	14.6916	0.980534	intron	CG46301
chr2L	14150543	0.791647	17.4023	0.0819155	intron	CG43332
chr2L	14151266	0.117599	12.2921	1.08968	intron	CG43332
chr2L	14154793	0.619844	12.9509	0.526376	intron	CG43332
chr2L	14155007	0.417743	12.2282	0.387409	intron	CG43332
chr2L	14161096	1.32395	8.63153	0.822242	TTS	CG43332
chr2L	14166872	0.732693	9.37621	0.144792	exon	CG43332
chr2L	14167191	0.628377	8.95164	0.490782	exon	CG43332
chr2L	14170323	0.576646	13.0393	0.360328	intron	CG43332
chr2L	14174273	0.437766	8.62882	0.623876	intron	CG43333
chr2L	14175887	0.686024	9.69981	0.295971	intron	CG43333
chr2L	14177718	0.784777	13.3151	1.33293	intron	CG43333
chr2L	14178027	2.58576	11.0027	1.83511	intron	CG43333
chr2L	14178882	0.242101	12.9136	3.69318	intron	CG43333
chr2L	14179243	0.310477	14.5475	0.535272	intron	CG43333
chr2L	14180851	0.747179	18.4078	0.209483	promoter-TSS	CG43333
chr2L	14183312	0.262628	11.9743	2.66868	Intergenic	CG43333
chr2L	14184457	1.20931	12.6294	0.548467	TTS	CG43333
chr2L	14186168	0.222465	8.4622	0.170375	exon	CG43333
chr2L	14188155	0.504657	14.1758	0.826593	intron	CG43333
chr2L	14189382	0.216588	0.704174	1.36786	intron	Dyrk2
chr2L	14192540	0.108737	12.28	1.59198	intron	Dyrk2
chr2L	14193496	0.349613	9.98936	1.66269	intron	Dyrk2
chr2L	14195168	0.340524	5.46977	1.05881	intron	Dyrk2
chr2L	14196837	0.723255	11.8533	0.727359	intron	Dyrk2
chr2L	14197513	0.765152	13.1343	1.00891	promoter-TSS	Dyrk2
chr2L	14202673	0.608293	9.72123	1.94099	intron	Dyrk2
chr2L	14204174	1.32054	14.6664	0.720891	intron	Dyrk2
chr2L	14206056	2.62103	12.6772	0.227968	intron	Dyrk2
chr2L	14207768	0.717345	19.2248	0.101132	intron	Dyrk2
chr2L	14210403	0.124594	9.62395	0.911807	intron	Dyrk2
chr2L	14211454	0.131221	4.51313	1.79792	intron	Dyrk2
chr2L	14213044	0.213093	4.21756	0.950898	intron	Dyrk2
chr2L	14214203	0.470883	5.37012	0.513931	intron	Dyrk2
chr2L	14214416	0.821693	4.3543	1.63658	intron	Dyrk2
chr2L	14216011	0.305761	6.68018	1.98324	intron	Dyrk2
chr2L	14216995	0.270706	9.72748	1.39789	intron	Dyrk2
chr2L	14217595	0.0521751	6.57517	1.92977	intron	Dyrk2
chr2L	14218075	0.193116	7.65665	0.86472	intron	Dyrk2
chr2L	14218623	0.122883	6.36115	0.621504	intron	Dyrk2
chr2L	14218899	0.00233898	3.33618	0.790261	intron	Dyrk2
chr2L	14219807	1.21541	15.7044	0.229836	intron	Dyrk2
chr2L	14220552	0.558378	12.1198	3.13583	intron	Dyrk2
chr2L	14221356	0.189462	12.9661	2.41241	intron	Dyrk2
chr2L	14222764	0.0559302	10.0204	2.78374	intron	Dyrk2
chr2L	14226468	0.459117	17.6549	0.629254	intron	Dyrk2
chr2L	14227846	0.582287	7.31272	0.799217	intron	Dyrk2
chr2L	14240226	0.477217	16.9606	0.0718337	promoter-TSS	lncRNA:CR44216
chr2L	14244434	0.294418	14.5221	3.10163	Intergenic	lncRNA:CR44216
chr2L	14245844	0.233455	9.5079	0.273724	Intergenic	lncRNA:CR44216
chr2L	14248217	0.532815	12.6846	0.210973	Intergenic	lncRNA:CR44216
chr2L	14250185	0.266319	15.1801	1.6638	Intergenic	lncRNA:CR44216
chr2L	14252640	1.3734	14.6498	2.19188	Intergenic	wb
chr2L	14253008	0.998355	18.4746	0.435117	Intergenic	wb
chr2L	14255216	0.843068	11.7834	2.40992	Intergenic	wb
chr2L	14257898	0.679745	14.4883	0.919272	Intergenic	wb
chr2L	14261300	0.372645	11.3454	3.85199	Intergenic	wb
chr2L	14261623	0.522027	11.9524	3.68581	Intergenic	wb
chr2L	14262903	0.311923	17.0444	0.164468	promoter-TSS	wb
chr2L	14270249	0.332925	11.8704	0.701028	intron	lncRNA:CR44729
chr2L	14272494	0.0575688	14.7447	0.381107	intron	lncRNA:CR44729
chr2L	14273941	0.0321139	9.14844	1.78376	promoter-TSS	lncRNA:CR44729
chr2L	14279717	0.643494	6.92536	1.68105	intron	CG32971
chr2L	14280862	1.98548	6.02296	1.10025	intron	CG32971
chr2L	14282436	2.28832	11.6818	0.121144	intron	CG32971
chr2L	14283090	0.655967	14.0984	0.775873	intron	CG32971
chr2L	14288107	0.0636587	2.94927	1.2808	intron	lncRNA:CR43639
chr2L	14293027	0.477259	9.88501	2.13433	TTS	lncRNA:CR43639
chr2L	14294091	0.308383	10.5911	1.06334	non-coding	lncRNA:CR43640
chr2L	14294354	0.562417	14.8852	0.49034	non-coding	lncRNA:CR43640
chr2L	14297764	0.0582399	17.448	0.79307	intron	lncRNA:CR43640
chr2L	14300976	1.12206	17.3005	1.93042	promoter-TSS	wb
chr2L	14303062	0.799344	15.1214	0.724159	intron	wb
chr2L	14306676	0.133915	15.1642	0.40913	intron	wb
chr2L	14308654	0.848148	10.3835	0.456993	exon	wb
chr2L	14334282	0.112748	2.60886	0.779808	TTS	CG33090
chr2L	14341144	0.426194	14.7384	0.21775	promoter-TSS	CG33090
chr2L	14348671	0.0859776	4.70807	1.0532	promoter-TSS	mTTF
chr2L	14350000	0.600236	8.9532	2.11276	TTS	asRNA:CR44850
chr2L	14351452	0.995932	17.8249	0.0975172	promoter-TSS	l(2)34Fc
chr2L	14355286	0.689229	7.83497	0.944557	promoter-TSS	Rab14
chr2L	14356757	2.071	9.5774	0.244064	promoter-TSS	lncRNA:CR44851
chr2L	14359200	0.184676	6.56055	1.76941	promoter-TSS	Pgant35A
chr2L	14362014	1.07671	6.61082	1.90076	promoter-TSS	spel1
chr2L	14366878	0.128638	17.1377	2.40521	TTS	spel1
chr2L	14382048	0.0454201	16.4531	1.91349	promoter-TSS	ppk
chr2L	14385489	0.339262	9.1403	0.353574	Intergenic	ppk
chr2L	14386531	0.492184	17.2423	0.679897	Intergenic	ppk
chr2L	14388100	0.294773	10.2741	2.48756	Intergenic	ppk
chr2L	14388716	0.263418	6.77401	2.33002	Intergenic	ppk
chr2L	14389740	0.16042	6.64577	1.39933	TTS	ppk
chr2L	14389943	0.106104	9.06147	0.78807	TTS	ppk
chr2L	14391709	1.3702	7.52311	0.362254	exon	ppk
chr2L	14392514	0.477906	12.2021	1.05993	exon	ppk
chr2L	14392772	0.445213	13.3759	0.945108	exon	ppk
chr2L	14394509	0.575261	12.5677	1.1974	intron	ppk
chr2L	14397310	0.517482	15.8833	0.907818	intron	elB
chr2L	14398188	0.581333	11.9787	0.74947	intron	elB
chr2L	14400843	0.864378	8.29367	0.43781	intron	elB
chr2L	14402150	0.350851	13.9583	0.967385	intron	elB
chr2L	14406202	0.130867	11.0628	2.25733	intron	elB
chr2L	14409768	0.138808	1.75284	2.61801	promoter-TSS	lncRNA:CR44733
chr2L	14410250	0.710533	7.80898	3.20511	promoter-TSS	lncRNA:CR44733
chr2L	14412353	0.4869	16.3276	1.05129	Intergenic	lncRNA:CR44733
chr2L	14415620	1.56167	15.5726	0.307518	Intergenic	Pburs
chr2L	14418123	0.273521	3.19556	1.67693	promoter-TSS	Pburs
chr2L	14419059	0.478162	13.2724	4.03811	Intergenic	Pburs
chr2L	14420618	1.38982	7.83271	1.46094	Intergenic	Pburs
chr2L	14421424	0.583918	14.2741	1.37689	Intergenic	Cpr35B
chr2L	14422450	1.64562	12.9172	2.14596	Intergenic	Cpr35B
chr2L	14426588	0.825556	15.7817	0.769406	Intergenic	Cpr35B
chr2L	14429999	0.92573	10.5844	0.675459	non-coding	lncRNA:CR44732
chr2L	14431569	0.922482	13.712	1.33483	promoter-TSS	lncRNA:CR44732
chr2L	14432515	0.71064	8.995	0.488844	Intergenic	lncRNA:CR44732
chr2L	14432810	0.557187	7.83101	1.30249	Intergenic	lncRNA:CR44732
chr2L	14437314	0.758769	13.4313	1.54109	Intergenic	lncRNA:CR44732
chr2L	14438765	1.46013	7.19314	0.337979	Intergenic	lncRNA:CR44732
chr2L	14440374	0.473769	12.3891	0.212495	Intergenic	lncRNA:CR45726
chr2L	14441132	0.104454	12.0247	1.23137	Intergenic	lncRNA:CR45726
chr2L	14442297	0.406228	10.6399	0.620791	Intergenic	lncRNA:CR45726
chr2L	14443974	0.455272	11.9392	0.391837	Intergenic	lncRNA:CR45726
chr2L	14444846	0.255381	6.19625	0.698519	Intergenic	lncRNA:CR45726
chr2L	14453393	0.0187306	11.4868	2.25224	Intergenic	CG15283
chr2L	14454536	0.117836	12.2822	0.137197	Intergenic	lncRNA:CR44730
chr2L	14455321	0.104617	10.0888	0.72879	Intergenic	lncRNA:CR44730
chr2L	14458390	0.708217	9.02827	0.931307	Intergenic	lncRNA:CR44730
chr2L	14458607	0.848902	7.2282	1.13499	Intergenic	lncRNA:CR44730
chr2L	14461244	0.621897	15.8814	2.84163	Intergenic	lncRNA:CR44730
chr2L	14462854	0.166001	5.07693	0.983479	Intergenic	lncRNA:CR44730
chr2L	14464242	0.935367	10.7931	0.229485	Intergenic	lncRNA:CR44730
chr2L	14465040	0.377334	10.9722	0.358338	Intergenic	lncRNA:CR44730
chr2L	14469854	0.00349939	8.45244	5.04775	Intergenic	lncRNA:CR44730
chr2L	14470200	0.00819738	10.1992	3.36274	Intergenic	lncRNA:CR44730
chr2L	14470547	0.0358459	6.97164	7.07499	Intergenic	lncRNA:CR44730
chr2L	14470818	0.068742	5.40035	5.65326	Intergenic	lncRNA:CR44730
chr2L	14472050	2.15172	15.8669	0.977643	Intergenic	lncRNA:CR44731
chr2L	14472470	0.842395	14.9139	0.666611	Intergenic	lncRNA:CR44731
chr2L	14474583	0.563302	2.73035	0.256024	Intergenic	lncRNA:CR44731
chr2L	14475396	0.259944	1.05963	2.73174	Intergenic	lncRNA:CR44731
chr2L	14477772	0.771457	10.4073	0.337581	Intergenic	lncRNA:CR44731
chr2L	14479920	0.227767	13.7354	0.946159	Intergenic	lncRNA:CR44731
chr2L	14483360	1.12206	17.0451	0.16001	Intergenic	lncRNA:CR44731
chr2L	14484226	0.409747	12.2868	0.627945	Intergenic	lncRNA:CR44731
chr2L	14485164	0.11043	11.8961	1.11881	promoter-TSS	lncRNA:CR44731
chr2L	14490565	0.234272	5.71365	1.60888	promoter-TSS	noc
chr2L	14492162	0.585399	12.126	0.281468	exon	noc
chr2L	14495836	0.540555	14.8281	1.22587	Intergenic	lncRNA:CR45303
chr2L	14497950	0.237075	13.4933	0.772589	non-coding	lncRNA:CR45303
chr2L	14499679	0.162532	15.7248	3.81796	Intergenic	lncRNA:CR45303
chr2L	14503142	0.0238005	15.1036	1.98955	Intergenic	lncRNA:CR45303
chr2L	14505369	0.270921	0.569277	1.50972	Intergenic	lncRNA:CR45693
chr2L	14507085	0.332709	15.4548	0.935385	Intergenic	lncRNA:CR45693
chr2L	14508400	0.0601054	14.1987	1.81784	Intergenic	lncRNA:CR45693
chr2L	14508813	0.0356527	13.4558	1.01949	Intergenic	lncRNA:CR45693
chr2L	14509981	0.469044	12.4401	0.966883	TTS	lncRNA:CR45693
chr2L	14510977	0.621897	17.3956	0.361534	non-coding	lncRNA:CR45693
chr2L	14511342	0.590849	11.0163	2.15628	non-coding	lncRNA:CR45693
chr2L	14511919	0.890802	5.99427	3.37157	non-coding	lncRNA:CR45693
chr2L	14513423	0.747686	13.3532	3.01316	Intergenic	lncRNA:CR45693
chr2L	14513966	1.61444	14.8541	1.97248	Intergenic	lncRNA:CR45693
chr2L	14514240	0.59837	12.8926	3.94149	Intergenic	lncRNA:CR45693
chr2L	14516246	0.125396	15.078	3.89328	Intergenic	lncRNA:CR45693
chr2L	14516764	0.285381	10.3885	1.04477	Intergenic	lncRNA:CR45693
chr2L	14517096	0.136838	13.2215	4.14385	Intergenic	lncRNA:CR45693
chr2L	14517398	0.171956	12.7372	4.20279	Intergenic	lncRNA:CR45693
chr2L	14518577	0.476555	14.737	1.02929	Intergenic	CG33648
chr2L	14519422	0.236936	15.4912	3.2009	Intergenic	CG33648
chr2L	14520747	0.0571952	6.5068	2.10524	Intergenic	CG33648
chr2L	14521703	0.170749	9.15182	1.31001	Intergenic	CG33648
chr2L	14522068	0.362962	5.61452	0.451704	Intergenic	CG33648
chr2L	14522659	0.256469	11.5298	0.432595	Intergenic	CG33648
chr2L	14524320	0.152983	11.5976	2.08082	promoter-TSS	CG33648
chr2L	14527591	1.13641	14.7478	0.2736	Intergenic	CG33648
chr2L	14528614	0.157538	5.79443	0.762074	Intergenic	CG33648
chr2L	14529136	0.162783	12.2288	0.498529	Intergenic	CG33648
chr2L	14530689	1.70264	13.8717	0.960898	Intergenic	lncRNA:CR44852
chr2L	14531540	0.909614	15.6833	1.16267	TTS	lncRNA:CR44852
chr2L	14532710	0.201523	12.3016	1.26936	non-coding	lncRNA:CR44852
chr2L	14534450	0.823388	10.4989	1.07735	promoter-TSS	lncRNA:CR44852
chr2L	14535897	0.389911	14.457	1.13704	Intergenic	lncRNA:CR44852
chr2L	14537310	0.886553	8.11751	0.655928	Intergenic	lncRNA:CR44852
chr2L	14538752	0.235398	4.91693	1.13559	Intergenic	lncRNA:CR44852
chr2L	14539046	0.283944	5.67555	2.00553	Intergenic	lncRNA:CR44852
chr2L	14540470	0.207297	9.91254	2.09594	Intergenic	lncRNA:CR44852
chr2L	14542008	0.26943	8.4362	1.36725	Intergenic	CG4218
chr2L	14542898	1.04106	10.4682	0.94995	Intergenic	CG4218
chr2L	14544462	0.125748	8.94768	2.4274	Intergenic	CG4218
chr2L	14546145	0.650888	9.74394	0.521329	Intergenic	CG4218
chr2L	14547062	0.0746977	12.8125	2.14759	TTS	CG4218
chr2L	14550993	1.40425	15.2414	0.187912	promoter-TSS	lncRNA:CR44853
chr2L	14551239	2.13808	17.078	0.118561	promoter-TSS	lncRNA:CR44853
chr2L	14551590	0.711885	14.4256	1.06001	promoter-TSS	lncRNA:CR44853
chr2L	14552735	0.367455	14.7305	0.68498	Intergenic	lncRNA:CR44853
chr2L	14552966	0.708217	15.5643	0.681737	Intergenic	lncRNA:CR44853
chr2L	14554060	0.61775	16.5129	1.60368	Intergenic	lncRNA:CR44853
chr2L	14554498	0.57767	13.8741	0.61611	Intergenic	lncRNA:CR44853
chr2L	14555539	0.247397	12.5538	1.29118	Intergenic	lncRNA:CR44854
chr2L	14557904	1.83781	18.8956	0.0594011	TTS	lncRNA:CR44854
chr2L	14558830	0.754354	4.82302	0.709284	promoter-TSS	lncRNA:CR44854
chr2L	14559243	0.910457	4.70518	0.235918	promoter-TSS	lncRNA:CR44854
chr2L	14560732	0.148314	15.687	0.901539	promoter-TSS	lncRNA:CR44855
chr2L	14562686	0.3144	13.0678	0.10102	TTS	CG3473
chr2L	14564531	0.487535	14.2645	0.678436	promoter-TSS	CG3473
chr2L	14567488	0.663294	12.2477	1.34064	Intergenic	CG3473
chr2L	14568946	1.37924	16.1937	0.0920592	Intergenic	CG3473
chr2L	14569473	1.23271	17.5435	0.37525	Intergenic	CG3473
chr2L	14570164	0.792402	9.26961	2.24497	Intergenic	lncRNA:CR44856
chr2L	14571806	0.592775	13.0462	0.72487	Intergenic	lncRNA:CR44856
chr2L	14572746	1.21366	12.7815	0.402994	Intergenic	lncRNA:CR44856
chr2L	14573552	0.250719	16.5182	0.260406	Intergenic	lncRNA:CR44856
chr2L	14577975	0.0306853	15.4505	0.803	TTS	lncRNA:CR44856
chr2L	14579208	0.645074	2.39492	1.8348	Intergenic	lncRNA:CR44856
chr2L	14579512	1.34193	8.35551	0.708746	Intergenic	lncRNA:CR44856
chr2L	14581062	1.26363	17.7846	0.114807	Intergenic	lncRNA:CR44856
chr2L	14582276	0.616904	16.1575	0.186204	Intergenic	lncRNA:CR44856
chr2L	14582601	0.259572	15.2558	0.118082	Intergenic	CG42680
chr2L	14583011	0.283006	11.6904	0.983788	Intergenic	CG42680
chr2L	14586217	0.474571	12.4405	0.588286	Intergenic	CG42680
chr2L	14587235	0.433867	12.1345	0.262465	TTS	CG42680
chr2L	14589101	0.500495	7.50864	0.716655	promoter-TSS	CG42680
chr2L	14596490	1.42905	15.3733	0.796761	Intergenic	CG42680
chr2L	14598854	0.330413	9.54862	0.767799	TTS	CG42680
chr2L	14599177	0.026991	10.4291	1.49281	TTS	CG42680
chr2L	14599537	0.529453	13.7738	0.207959	TTS	CG42680
chr2L	14606283	0.658358	15.8187	1.12869	intron	lncRNA:CR43411
chr2L	14607980	0.353061	11.9847	0.320163	intron	lncRNA:CR43411
chr2L	14608888	0.507829	8.37513	0.393243	intron	lncRNA:CR43411
chr2L	14614794	0.821221	15.5126	0.225041	promoter-TSS	Adh
chr2L	14615188	0.224078	15.3527	0.459145	promoter-TSS	Adh
chr2L	14619622	0.0434104	14.4024	0.209092	TTS	Adhr
chr2L	14620000	0.324963	11.9173	0.307832	intron	Adhr
chr2L	14620618	0.262709	9.94527	0.597483	intron	Adhr
chr2L	14622404	0.805895	8.01553	0.979281	intron	Adhr
chr2L	14622625	0.836559	8.53353	0.921255	intron	Adhr
